Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,60.57,0.5582,18.61
0.166666,60.53,0.5582,18.61
0.249999,60.45,0.5582,18.61
0.333332,60.36,0.5582,18.61
0.416665,60.27,0.5582,18.61
0.499998,60.21,0.5582,18.61
0.583331,60.17,0.5582,18.61
0.666664,60.13,0.5582,18.61
0.749997,60.10,0.5582,18.61
0.833330,60.07,0.5582,18.61
0.916663,60.03,0.5582,18.61
0.999996,60.00,0.5582,18.61
1.083329,59.97,0.5582,18.61
1.166662,60.22,0.5595,18.65
1.249995,61.31,0.5616,18.72
1.333328,63.24,0.5638,18.79
1.416661,65.90,0.5662,18.87
1.499994,69.19,0.5684,18.95
1.583327,72.74,0.5705,19.02
1.666660,75.96,0.5726,19.09
1.749993,78.79,0.5747,19.16
1.833326,81.19,0.5767,19.22
1.916659,83.03,0.5789,19.30
1.999992,84.33,0.5810,19.37
2.083325,85.12,0.5831,19.44
2.166658,85.44,0.5852,19.51
2.249991,85.50,0.5872,19.57
2.333324,85.52,0.5892,19.64
2.416657,85.53,0.5914,19.71
2.499990,85.55,0.5934,19.78
2.583323,85.57,0.5955,19.85
2.666656,85.61,0.5976,19.92
2.749989,85.67,0.5996,19.99
2.833322,85.73,0.6016,20.05
2.916655,85.80,0.6038,20.13
2.999988,85.88,0.6059,20.20
3.083321,85.95,0.6080,20.27
3.166654,85.99,0.6100,20.33
3.249987,86.02,0.6120,20.40
3.333320,86.04,0.6140,20.47
3.416653,86.03,0.6161,20.54
3.499986,86.03,0.6183,20.61
3.583319,86.01,0.6204,20.68
3.666652,85.98,0.6225,20.75
3.749985,85.95,0.6244,20.81
3.833318,85.92,0.6265,20.88
3.916651,85.91,0.6286,20.95
3.999984,85.95,0.6307,21.02
4.083317,86.02,0.6328,21.09
4.166650,86.08,0.6349,21.16
4.249983,86.16,0.6369,21.23
4.333316,86.23,0.6389,21.30
4.416649,86.27,0.6410,21.37
4.499982,86.30,0.6431,21.44
4.583315,86.34,0.6452,21.51
4.666648,86.39,0.6473,21.58
4.749981,86.44,0.6493,21.64
4.833314,86.49,0.6513,21.71
4.916647,86.53,0.6534,21.78
4.999980,86.59,0.6555,21.85
5.083313,86.64,0.6575,21.92
5.166646,86.68,0.6597,21.99
5.249979,86.71,0.6618,22.06
5.333312,86.73,0.6638,22.13
5.416645,86.73,0.6658,22.19
5.499978,86.73,0.6679,22.26
5.583311,86.73,0.6700,22.33
5.666644,86.73,0.6721,22.40
5.749977,86.74,0.6742,22.47
5.833310,86.74,0.6761,22.54
5.916643,86.75,0.6782,22.61
5.999976,86.76,0.6803,22.68
6.083309,86.77,0.6823,22.74
6.166642,86.78,0.6845,22.82
6.249975,86.79,0.6865,22.88
6.333308,86.79,0.6886,22.95
6.416641,86.78,0.6906,23.02
