Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,60.91,0.4889,16.30
0.166666,60.90,0.4889,16.30
0.249999,60.88,0.4889,16.30
0.333332,60.94,0.4895,16.32
0.416665,61.76,0.4915,16.38
0.499998,63.59,0.4937,16.46
0.583331,66.35,0.4960,16.53
0.666664,69.84,0.4982,16.61
0.749997,73.81,0.5003,16.68
0.833330,77.49,0.5025,16.75
0.916663,80.33,0.5045,16.82
0.999996,82.31,0.5067,16.89
1.083329,83.58,0.5088,16.96
1.166662,84.25,0.5109,17.03
1.249995,84.44,0.5130,17.10
1.333328,84.42,0.5150,17.17
1.416661,84.37,0.5171,17.24
1.499994,84.32,0.5192,17.31
1.583327,84.28,0.5213,17.38
1.666660,84.24,0.5233,17.44
1.749993,84.20,0.5255,17.52
1.833326,84.18,0.5275,17.58
1.916659,84.16,0.5295,17.65
1.999992,84.14,0.5315,17.72
2.083325,84.14,0.5337,17.79
2.166658,84.14,0.5358,17.86
2.249991,84.14,0.5378,17.93
2.333324,84.13,0.5398,17.99
2.416657,84.13,0.5419,18.06
2.499990,84.12,0.5439,18.13
2.583323,84.12,0.5461,18.20
2.666656,84.12,0.5481,18.27
2.749989,84.15,0.5502,18.34
2.833322,84.22,0.5522,18.41
2.916655,84.31,0.5543,18.48
2.999988,84.39,0.5564,18.55
3.083321,84.48,0.5585,18.62
3.166654,84.54,0.5606,18.69
3.249987,84.57,0.5626,18.75
3.333320,84.59,0.5647,18.82
3.416653,84.63,0.5667,18.89
3.499986,84.67,0.5688,18.96
3.583319,84.71,0.5709,19.03
3.666652,84.76,0.5730,19.10
3.749985,84.80,0.5751,19.17
3.833318,84.85,0.5772,19.24
3.916651,84.89,0.5792,19.31
3.999984,84.93,0.5812,19.37
4.083317,84.97,0.5833,19.44
4.166650,85.00,0.5854,19.51
4.249983,85.03,0.5874,19.58
4.333316,85.06,0.5896,19.65
4.416649,85.09,0.5916,19.72
4.499982,85.13,0.5936,19.79
4.583315,85.16,0.5956,19.85
4.666648,85.20,0.5979,19.93
4.749981,85.23,0.5999,20.00
4.833314,85.26,0.6020,20.07
4.916647,85.29,0.6040,20.13
4.999980,85.30,0.6060,20.20
5.083313,85.30,0.6081,20.27
5.166646,85.31,0.6102,20.34
5.249979,85.29,0.6124,20.41
5.333312,85.27,0.6144,20.48
5.416645,85.26,0.6165,20.55
5.499978,85.24,0.6185,20.62
5.583311,85.22,0.6205,20.68
5.666644,85.20,0.6226,20.75
5.749977,85.19,0.6248,20.83
5.833310,85.18,0.6268,20.89
5.916643,85.19,0.6289,20.96
5.999976,85.23,0.6309,21.03
6.083309,85.34,0.6329,21.10
6.166642,85.55,0.6350,21.17
6.249975,85.85,0.6372,21.24
6.333308,86.23,0.6392,21.31
6.416641,86.72,0.6414,21.38
6.499974,87.51,0.6433,21.44
6.583307,88.64,0.6454,21.51
6.666640,90.23,0.6475,21.58
6.749973,92.45,-0.008928,-0.2976
6.833306,95.39,-0.005500,-0.1833
6.916639,99.28,-0.003016,-0.1005
6.999972,103.1,-0.002533,-0.08443
7.083305,106.3,-0.002192,-0.07307
7.166638,108.9,-0.001956,-0.06519
7.249971,110.5,-0.001850,-0.06167
7.333304,110.9,-0.001700,-0.05667
7.416637,111.0,-0.001539,-0.05131
7.499970,111.0,-0.001500,-0.05000
7.583303,111.1,-0.001400,-0.04667
7.666636,111.1,-0.001300,-0.04333
7.749969,111.1,-0.001300,-0.04333
7.833302,111.1,-0.001200,-0.04000
7.916635,111.1,-0.001106,-0.03688
7.999968,111.1,-0.001100,-0.03667
8.083301,111.1,-0.001100,-0.03667
8.166634,111.1,-0.001000,-0.03333
8.249967,111.1,-0.001000,-0.03333
8.333300,111.1,-0.001000,-0.03333
