Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,37.98,0.05280,1.760
0.166666,37.95,0.05280,1.760
0.249999,37.92,0.05280,1.760
0.333332,38.04,0.05391,1.797
0.416665,38.78,0.05606,1.869
0.499998,40.19,0.05838,1.946
0.583331,42.11,0.06048,2.016
0.666664,44.41,0.06264,2.088
0.749997,47.06,0.06477,2.159
0.833330,49.50,0.06696,2.232
0.916663,51.76,0.06910,2.303
0.999996,53.95,0.07114,2.371
1.083329,56.13,0.07323,2.441
1.166662,58.29,0.07524,2.508
1.249995,60.40,0.07729,2.576
1.333328,62.54,0.07941,2.647
1.416661,64.68,0.08154,2.718
1.499994,66.85,0.08366,2.789
1.583327,69.05,0.08568,2.856
1.666660,71.22,0.08770,2.923
1.749993,73.35,0.08972,2.991
1.833326,75.48,0.09193,3.064
1.916659,77.54,0.09396,3.132
1.999992,79.49,0.09608,3.203
2.083325,81.09,0.09813,3.271
2.166658,82.29,0.1002,3.339
2.249991,83.10,0.1021,3.405
2.333324,83.46,0.1043,3.476
2.416657,83.53,0.1064,3.546
2.499990,83.51,0.1085,3.617
2.583323,83.48,0.1106,3.686
2.666656,83.46,0.1126,3.752
2.749989,83.44,0.1146,3.820
2.833322,83.43,0.1167,3.890
2.916655,83.44,0.1188,3.961
2.999988,83.45,0.1209,4.031
3.083321,83.47,0.1230,4.101
3.166654,83.49,0.1251,4.169
3.249987,83.52,0.1271,4.237
3.333320,83.53,0.1292,4.306
3.416653,83.55,0.1313,4.377
3.499986,83.54,0.1334,4.447
3.583319,83.53,0.1355,4.516
3.666652,83.52,0.1375,4.584
3.749985,83.51,0.1395,4.651
3.833318,83.50,0.1416,4.719
3.916651,83.54,0.1437,4.791
3.999984,83.60,0.1458,4.860
4.083317,83.70,0.1479,4.931
4.166650,83.79,0.1500,4.999
4.249983,83.87,0.1520,5.065
4.333316,83.94,0.1540,5.133
4.416649,83.97,0.1561,5.203
4.499982,83.98,0.1582,5.274
4.583315,84.00,0.1603,5.343
4.666648,84.02,0.1624,5.414
4.749981,84.05,0.1644,5.480
4.833314,84.10,0.1664,5.548
4.916647,84.15,0.1685,5.618
4.999980,84.20,0.1706,5.685
5.083313,84.27,0.1727,5.756
5.166646,84.34,0.1748,5.826
5.249979,84.41,0.1768,5.894
5.333312,84.47,0.1789,5.962
5.416645,84.52,0.1810,6.033
5.499978,84.55,0.1831,6.103
5.583311,84.56,0.1852,6.173
5.666644,84.55,0.1872,6.241
5.749977,84.54,0.1893,6.309
5.833310,84.53,0.1913,6.378
5.916643,84.52,0.1934,6.446
5.999976,84.50,0.1955,6.516
6.083309,84.49,0.1976,6.585
6.166642,84.48,0.1997,6.655
6.249975,84.46,0.2017,6.724
6.333308,84.44,0.2038,6.792
6.416641,84.42,0.2058,6.860
6.499974,84.40,0.2079,6.931
6.583307,84.37,0.2101,7.002
6.666640,84.35,0.2121,7.071
6.749973,84.34,0.2142,7.139
6.833306,84.32,0.2162,7.206
6.916639,84.30,0.2182,7.275
6.999972,84.29,0.2204,7.345
7.083305,84.27,0.2224,7.413
7.166638,84.25,0.2245,7.483
7.249971,84.25,0.2265,7.551
7.333304,84.26,0.2286,7.620
7.416637,84.32,0.2306,7.688
7.499970,84.53,0.2327,7.757
7.583303,85.10,0.2348,7.827
7.666636,86.15,0.2369,7.898
7.749969,87.73,0.2390,7.966
7.833302,89.82,0.2410,8.034
7.916635,92.39,0.2429,8.096
7.999968,95.13,-0.008727,-0.2909
8.083301,98.42,-0.004515,-0.1505
8.166634,102.0,-0.003166,-0.1055
8.249967,105.2,-0.002700,-0.09001
8.333300,107.8,-0.002387,-0.07957
8.416633,109.9,-0.002148,-0.07159
8.499966,110.9,-0.001961,-0.06536
8.583299,111.2,-0.001898,-0.06326
8.666632,111.3,-0.001735,-0.05782
8.749965,111.3,-0.001671,-0.05572
8.833298,111.4,-0.001600,-0.05333
8.916631,111.4,-0.001500,-0.05000
8.999964,111.4,-0.001482,-0.04941
9.083297,111.4,-0.001400,-0.04667
9.166630,111.4,-0.001400,-0.04667
9.249963,111.4,-0.001300,-0.04333
9.333296,111.4,-0.001300,-0.04333
9.416629,111.4,-0.001300,-0.04333
9.499962,111.4,-0.001204,-0.04012
9.583295,111.4,-0.001200,-0.04000
9.666628,111.3,-0.001200,-0.04000
9.749961,111.3,-0.001200,-0.04000
9.833294,111.3,-0.001151,-0.03837
9.916627,111.3,-0.001100,-0.03667
9.999960,111.3,-0.001100,-0.03667
10.083293,111.2,-0.001100,-0.03667
10.166626,111.2,-0.001100,-0.03667
10.249959,111.2,-0.001100,-0.03667
10.333292,111.2,-0.001100,-0.03667
10.416625,111.1,-0.001100,-0.03667
10.499958,111.1,-0.001000,-0.03333
10.583291,111.1,-0.001000,-0.03333
10.666624,111.1,-0.001000,-0.03333
10.749957,111.0,-0.001000,-0.03333
10.833290,111.0,-0.001000,-0.03333
10.916623,111.0,-0.001000,-0.03333
10.999956,111.0,-0.001000,-0.03333
11.083289,110.9,-0.001000,-0.03333
11.166622,110.9,-0.001000,-0.03333
11.249955,110.9,-0.0003919,-0.01306
11.333288,111.3,0.0009077,0.03026
11.416621,112.6,0.003032,0.1011
11.499954,114.6,0.005201,0.1734
11.583287,117.4,0.007314,0.2438
11.666620,120.8,0.009411,0.3137
11.749953,124.4,0.01145,0.3816
11.833286,127.8,0.01350,0.4499
11.916619,131.2,0.01557,0.5190
11.999952,134.6,0.01772,0.5908
12.083285,138.0,0.01980,0.6599
12.166618,141.4,0.02191,0.7302
12.249951,144.9,0.02394,0.7980
12.333284,148.3,0.02594,0.8647
12.416617,151.7,0.02805,0.9351
