Time (sec),Stress (MPa),Position (mm),Strain From Position (%)
0.083333,64.25,0.08410,2.803
0.166666,64.23,0.08410,2.803
0.249999,64.20,0.08410,2.803
0.333332,64.29,0.08473,2.824
0.416665,65.00,0.08658,2.886
0.499998,66.54,0.08884,2.961
0.583331,68.73,0.09104,3.035
0.666664,71.47,0.09320,3.107
0.749997,74.52,0.09529,3.176
0.833330,77.29,0.09747,3.249
0.916663,79.51,0.09960,3.320
0.999996,81.19,0.1017,3.391
1.083329,82.41,0.1038,3.461
1.166662,83.22,0.1059,3.530
1.249995,83.68,0.1079,3.595
1.333328,83.88,0.1100,3.665
1.416661,84.00,0.1121,3.736
1.499994,84.08,0.1142,3.805
1.583327,84.13,0.1162,3.874
1.666660,84.18,0.1183,3.943
1.749993,84.23,0.1204,4.012
1.833326,84.28,0.1224,4.081
1.916659,84.32,0.1246,4.153
1.999992,84.36,0.1267,4.222
2.083325,84.40,0.1287,4.291
2.166658,84.43,0.1308,4.359
2.249991,84.45,0.1328,4.425
2.333324,84.46,0.1348,4.494
2.416657,84.47,0.1370,4.566
2.499990,84.48,0.1390,4.635
2.583323,84.49,0.1411,4.704
2.666656,84.49,0.1432,4.773
2.749989,84.50,0.1452,4.839
2.833322,84.55,0.1473,4.910
2.916655,84.65,0.1493,4.978
2.999988,84.75,0.1515,5.049
3.083321,84.84,0.1536,5.119
3.166654,84.93,0.1556,5.188
3.249987,84.98,0.1577,5.255
3.333320,85.00,0.1597,5.323
3.416653,85.01,0.1618,5.392
3.499986,85.03,0.1639,5.463
3.583319,85.05,0.1660,5.533
3.666652,85.08,0.1680,5.602
3.749985,85.10,0.1701,5.669
3.833318,85.13,0.1721,5.735
3.916651,85.16,0.1741,5.803
3.999984,85.23,0.1763,5.877
4.083317,85.31,0.1784,5.947
4.166650,85.42,0.1805,6.015
4.249983,85.51,0.1825,6.084
4.333316,85.59,0.1846,6.153
4.416649,85.65,0.1866,6.219
4.499982,85.69,0.1887,6.291
4.583315,85.70,0.1908,6.360
4.666648,85.70,0.1930,6.432
4.749981,85.70,0.1950,6.499
4.833314,85.71,0.1970,6.566
4.916647,85.71,0.1990,6.633
4.999980,85.71,0.2011,6.703
5.083313,85.72,0.2032,6.773
5.166646,85.72,0.2054,6.845
5.249979,85.74,0.2074,6.914
5.333312,85.75,0.2094,6.981
5.416645,85.76,0.2114,7.046
5.499978,85.78,0.2135,7.118
5.583311,85.79,0.2156,7.187
5.666644,85.80,0.2177,7.258
5.749977,85.81,0.2198,7.328
5.833310,85.84,0.2219,7.396
5.916643,85.89,0.2239,7.463
5.999976,85.97,0.2260,7.532
6.083309,86.07,0.2281,7.602
6.166642,86.22,0.2301,7.671
6.249975,86.45,0.2322,7.740
6.333308,86.80,0.2343,7.810
6.416641,87.23,0.2363,7.877
6.499974,87.92,0.2384,7.945
6.583307,89.15,0.2405,8.016
6.666640,91.15,0.2426,8.087
6.749973,93.38,0.2448,8.160
6.833306,96.62,-0.006047,-0.2016
6.916639,100.6,-0.003971,-0.1324
6.999972,104.1,-0.003358,-0.1119
7.083305,106.9,-0.002951,-0.09836
7.166638,109.0,-0.002672,-0.08907
